date,season,club,opponent,competition,competitionType,venue,minute,addedTimeMinute,scoreAfterGoal,teamResult,goalType,bodyPart,penalty,freeKick,assist,assistType,sourceId,sourceUrl,sourceName,sourcePublishedAt,verified,verificationNotes,matchId
2020-09-19,2020/21,Borussia Dortmund,Borussia Mönchengladbach,Bundesliga,League,Home,54,,2-0,W,Penalty,,true,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-gladbach-2020-09-19
2020-09-19,2020/21,Borussia Dortmund,Borussia Mönchengladbach,Bundesliga,League,Home,78,,3-0,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-gladbach-2020-09-19
2020-09-30,2020/21,Borussia Dortmund,Bayern Munich,DFL-Supercup,Other,Away,55,,2-2,L,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-bayern-supercup-2020-09-30
2020-10-03,2020/21,Borussia Dortmund,SC Freiburg,Bundesliga,League,Home,31,,1-0,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-freiburg-2020-10-03
2020-10-03,2020/21,Borussia Dortmund,SC Freiburg,Bundesliga,League,Home,66,,3-0,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-freiburg-2020-10-03
2020-10-20,2020/21,Borussia Dortmund,Lazio,UEFA Champions League,Continental,Away,71,,2-1,L,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-lazio-2020-10-20
2020-10-24,2020/21,Borussia Dortmund,Schalke 04,Bundesliga,League,Home,61,,2-0,W,Open Play,Right Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-schalke-2020-10-24
2020-10-28,2020/21,Borussia Dortmund,Zenit Saint Petersburg,UEFA Champions League,Continental,Home,90,1,2-0,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-zenit-2020-10-28
2020-11-04,2020/21,Borussia Dortmund,Club Brugge,UEFA Champions League,Continental,Away,18,,0-2,W,Other,,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,"Transfermarkt describes the goal as a tap-in/rebound.",dortmund-brugge-2020-11-04
2020-11-04,2020/21,Borussia Dortmund,Club Brugge,UEFA Champions League,Continental,Away,32,,0-3,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-brugge-2020-11-04
2020-11-07,2020/21,Borussia Dortmund,Bayern Munich,Bundesliga,League,Home,83,,2-3,L,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-bayern-2020-11-07
2020-11-21,2020/21,Borussia Dortmund,Hertha BSC,Bundesliga,League,Away,47,,1-1,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-hertha-2020-11-21
2020-11-21,2020/21,Borussia Dortmund,Hertha BSC,Bundesliga,League,Away,49,,1-2,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-hertha-2020-11-21
2020-11-21,2020/21,Borussia Dortmund,Hertha BSC,Bundesliga,League,Away,62,,1-3,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-hertha-2020-11-21
2020-11-21,2020/21,Borussia Dortmund,Hertha BSC,Bundesliga,League,Away,,,2-5,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,"Secondary logs disagree on whether the fourth Haaland goal is recorded as minute 79 or 80. Minute intentionally left null pending authoritative resolution.",dortmund-hertha-2020-11-21
2020-11-24,2020/21,Borussia Dortmund,Club Brugge,UEFA Champions League,Continental,Home,18,,1-0,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-brugge-2020-11-24
2020-11-24,2020/21,Borussia Dortmund,Club Brugge,UEFA Champions League,Continental,Home,60,,3-0,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-brugge-2020-11-24
