date,season,club,opponent,competition,competitionType,venue,minute,addedTimeMinute,scoreAfterGoal,teamResult,goalType,bodyPart,penalty,freeKick,assist,assistType,sourceId,sourceUrl,sourceName,sourcePublishedAt,verified,verificationNotes,matchId
2021-08-07,2021/22,Borussia Dortmund,SV Wehen Wiesbaden,DFB-Pokal,Domestic Cup,Away,26,,0-1,W,,,false,false,,,,https://datencenter.dfb.de/en/data-center/dfb-pokal/18484/1st-round/2330047,DFB Data Center,,true,,dortmund-wiesbaden-2021-08-07
2021-08-07,2021/22,Borussia Dortmund,SV Wehen Wiesbaden,DFB-Pokal,Domestic Cup,Away,31,,0-2,W,Penalty,,true,false,,,,https://datencenter.dfb.de/en/data-center/dfb-pokal/18484/1st-round/2330047,DFB Data Center,,true,,dortmund-wiesbaden-2021-08-07
2021-08-07,2021/22,Borussia Dortmund,SV Wehen Wiesbaden,DFB-Pokal,Domestic Cup,Away,51,,0-3,W,,,false,false,,,,https://datencenter.dfb.de/en/data-center/dfb-pokal/18484/1st-round/2330047,DFB Data Center,,true,,dortmund-wiesbaden-2021-08-07
2021-08-14,2021/22,Borussia Dortmund,Eintracht Frankfurt,Bundesliga,League,Home,34,,3-1,W,Open Play,Left Foot,false,false,,,,https://datencenter.intg-dfb.de/datencenter/bundesliga/2021-22/1-spieltag/borussia-dortmund-eintracht-frankfurt-2326596,DFB Data Center,,true,,dortmund-frankfurt-2021-08-14
2021-08-14,2021/22,Borussia Dortmund,Eintracht Frankfurt,Bundesliga,League,Home,70,,5-1,W,Open Play,Right Foot,false,false,,,,https://datencenter.intg-dfb.de/datencenter/bundesliga/2021-22/1-spieltag/borussia-dortmund-eintracht-frankfurt-2326596,DFB Data Center,,true,,dortmund-frankfurt-2021-08-14
2021-08-27,2021/22,Borussia Dortmund,TSG Hoffenheim,Bundesliga,League,Home,90,1,3-2,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-hoffenheim-2021-08-27
2021-09-11,2021/22,Borussia Dortmund,Bayer Leverkusen,Bundesliga,League,Away,37,,1-1,W,Header,Head,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-leverkusen-2021-09-11
2021-09-11,2021/22,Borussia Dortmund,Bayer Leverkusen,Bundesliga,League,Away,77,,3-4,W,Penalty,,true,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-leverkusen-2021-09-11
2021-09-15,2021/22,Borussia Dortmund,Beşiktaş,UEFA Champions League,Continental,Away,45,3,0-2,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-besiktas-2021-09-15
2021-09-19,2021/22,Borussia Dortmund,Union Berlin,Bundesliga,League,Home,24,,2-0,W,Header,Head,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-union-2021-09-19
