date,season,club,opponent,competition,competitionType,venue,minute,addedTimeMinute,scoreAfterGoal,teamResult,goalType,bodyPart,penalty,freeKick,assist,assistType,sourceId,sourceUrl,sourceName,sourcePublishedAt,verified,verificationNotes,matchId
2020-09-04,2020/21,Norway,Austria,UEFA Nations League,International,Home,66,,,,,,false,false,Alexander Sørloth,,fbref-haaland-goal-log,https://fbref.com/en/players/1f44ac21/goallogs/all_comps/Erling-Haaland-Goal-Log,FBref,,true,Granular Norway goal event from FBref. Aggregate senior international total reconciled against the Norwegian Football Federation.,norway-2020-09-04-austria-uefa-nations-league
2020-09-07,2020/21,Norway,Northern Ireland,UEFA Nations League,International,Away,7,,,,,,false,false,,,fbref-haaland-goal-log,https://fbref.com/en/players/1f44ac21/goallogs/all_comps/Erling-Haaland-Goal-Log,FBref,,true,Granular Norway goal event from FBref. Aggregate senior international total reconciled against the Norwegian Football Federation.,norway-2020-09-07-northern-ireland-uefa-nations-league
2020-09-07,2020/21,Norway,Northern Ireland,UEFA Nations League,International,Away,58,,,,,,false,false,Omar Elabdellaoui,,fbref-haaland-goal-log,https://fbref.com/en/players/1f44ac21/goallogs/all_comps/Erling-Haaland-Goal-Log,FBref,,true,Granular Norway goal event from FBref. Aggregate senior international total reconciled against the Norwegian Football Federation.,norway-2020-09-07-northern-ireland-uefa-nations-league
2020-10-11,2020/21,Norway,Romania,UEFA Nations League,International,Home,13,,,,,,false,false,,,fbref-haaland-goal-log,https://fbref.com/en/players/1f44ac21/goallogs/all_comps/Erling-Haaland-Goal-Log,FBref,,true,Granular Norway goal event from FBref. Aggregate senior international total reconciled against the Norwegian Football Federation.,norway-2020-10-11-romania-uefa-nations-league
2020-10-11,2020/21,Norway,Romania,UEFA Nations League,International,Home,64,,,,,,false,false,,,fbref-haaland-goal-log,https://fbref.com/en/players/1f44ac21/goallogs/all_comps/Erling-Haaland-Goal-Log,FBref,,true,Granular Norway goal event from FBref. Aggregate senior international total reconciled against the Norwegian Football Federation.,norway-2020-10-11-romania-uefa-nations-league
2020-10-11,2020/21,Norway,Romania,UEFA Nations League,International,Home,74,,,,,,false,false,,,fbref-haaland-goal-log,https://fbref.com/en/players/1f44ac21/goallogs/all_comps/Erling-Haaland-Goal-Log,FBref,,true,Granular Norway goal event from FBref. Aggregate senior international total reconciled against the Norwegian Football Federation.,norway-2020-10-11-romania-uefa-nations-league
2021-06-02,2020/21,Norway,Luxembourg,Friendlies (M),International,Home,90,2,,,,,false,false,,,fbref-haaland-goal-log,https://fbref.com/en/players/1f44ac21/goallogs/all_comps/Erling-Haaland-Goal-Log,FBref,,true,Granular Norway goal event from FBref. Aggregate senior international total reconciled against the Norwegian Football Federation.,norway-2021-06-02-luxembourg-friendlies-m
2021-09-01,2021/22,Norway,Netherlands,WCQ,International,Home,20,,,,,,false,false,Stefan Strandberg,,fbref-haaland-goal-log,https://fbref.com/en/players/1f44ac21/goallogs/all_comps/Erling-Haaland-Goal-Log,FBref,,true,Granular Norway goal event from FBref. Aggregate senior international total reconciled against the Norwegian Football Federation.,norway-2021-09-01-netherlands-wcq
2021-09-04,2021/22,Norway,Latvia,WCQ,International,Away,20,,,,Penalty,,true,false,,,fbref-haaland-goal-log,https://fbref.com/en/players/1f44ac21/goallogs/all_comps/Erling-Haaland-Goal-Log,FBref,,true,Granular Norway goal event from FBref. Aggregate senior international total reconciled against the Norwegian Football Federation.,norway-2021-09-04-latvia-wcq
2021-09-07,2021/22,Norway,Gibraltar,WCQ,International,Home,27,,,,,,false,false,Kristian Thorstvedt,,fbref-haaland-goal-log,https://fbref.com/en/players/1f44ac21/goallogs/all_comps/Erling-Haaland-Goal-Log,FBref,,true,Granular Norway goal event from FBref. Aggregate senior international total reconciled against the Norwegian Football Federation.,norway-2021-09-07-gibraltar-wcq
2021-09-07,2021/22,Norway,Gibraltar,WCQ,International,Home,39,,,,,,false,false,Alexander Sørloth,,fbref-haaland-goal-log,https://fbref.com/en/players/1f44ac21/goallogs/all_comps/Erling-Haaland-Goal-Log,FBref,,true,Granular Norway goal event from FBref. Aggregate senior international total reconciled against the Norwegian Football Federation.,norway-2021-09-07-gibraltar-wcq
2021-09-07,2021/22,Norway,Gibraltar,WCQ,International,Home,90,1,,,,,false,false,Marcus Pedersen,,fbref-haaland-goal-log,https://fbref.com/en/players/1f44ac21/goallogs/all_comps/Erling-Haaland-Goal-Log,FBref,,true,Granular Norway goal event from FBref. Aggregate senior international total reconciled against the Norwegian Football Federation.,norway-2021-09-07-gibraltar-wcq
2022-03-25,2021/22,Norway,Slovakia,Friendlies (M),International,Neutral,77,,,,,,false,false,Kristian Thorstvedt,,fbref-haaland-goal-log,https://fbref.com/en/players/1f44ac21/goallogs/all_comps/Erling-Haaland-Goal-Log,FBref,,true,Granular Norway goal event from FBref. Aggregate senior international total reconciled against the Norwegian Football Federation.,norway-2022-03-25-slovakia-friendlies-m
2022-03-29,2021/22,Norway,Armenia,Friendlies (M),International,Neutral,24,,,,,,false,false,Mohamed Elyounoussi,,fbref-haaland-goal-log,https://fbref.com/en/players/1f44ac21/goallogs/all_comps/Erling-Haaland-Goal-Log,FBref,,true,Granular Norway goal event from FBref. Aggregate senior international total reconciled against the Norwegian Football Federation.,norway-2022-03-29-armenia-friendlies-m
